,167N_2021_STQO,167S_2021_STQO,409_2021_STQO,167N_2025_STQO,167S_2025_STQO,409_2025_STQO,167N_2030_STQO,167S_2030_STQO,409_2030_STQO,167N_2050_STQO,167S_2050_STQO,409_2050_STQO,167N_2030_WFNM,167S_2030_WFNM,409_2030_WFNM,167N_2050_WFNM,167S_2050_WFNM,409_2050_WFNM,167N_2021_PLSQ,167S_2021_PLSQ,409_2021_PLSQ,167N_2025_PLSQ,167S_2025_PLSQ,409_2025_PLSQ,167N_2030_PLSQ,167S_2030_PLSQ,409_2030_PLSQ,167N_2050_PLSQ,167S_2050_PLSQ,409_2050_PLSQ,167N_2030_PLWF,167S_2030_PLWF,409_2030_PLWF,167N_2050_PLWF,167S_2050_PLWF,409_2050_PLWF,167N_2021_TB,167S_2021_TB,409_2021_TB,167N_2025_TB,167S_2025_TB,409_2025_TB,167N_2030_TB,167S_2030_TB,409_2030_TB,167N_2050_TB,167S_2050_TB,409_2050_TB,167N_2030_TBWF,167S_2030_TBWF,409_2030_TBWF,167N_2050_TBWF,167S_2050_TBWF,409_2050_TBWF,167N_2021_RxB,167S_2021_RxB,409_2021_RxB,167N_2025_RxB,167S_2025_RxB,409_2025_RxB,167N_2030_RxB,167S_2030_RxB,409_2030_RxB,167N_2050_RxB,167S_2050_RxB,409_2050_RxB,167N_2030_RBWF,167S_2030_RBWF,409_2030_RBWF,167N_2050_RBWF,167S_2050_RBWF,409_2050_RBWF,167N_2021_TRxB,167S_2021_TRxB,409_2021_TRxB,167N_2025_TRxB,167S_2025_TRxB,409_2025_TRxB,167N_2030_TRxB,167S_2030_TRxB,409_2030_TRxB,167N_2050_TRxB,167S_2050_TRxB,409_2050_TRxB,167N_2030_TRWF,167S_2030_TRWF,409_2030_TRWF,167N_2050_TRWF,167S_2050_TRWF,409_2050_TRWF,167N_2021_SPB,167S_2021_SPB,409_2021_SPB,167N_2025_SPB,167S_2025_SPB,409_2025_SPB,167N_2030_SPB,167S_2030_SPB,409_2030_SPB,167N_2050_SPB,167S_2050_SPB,409_2050_SPB,167N_2030_SPWF,167S_2030_SPWF,409_2030_SPWF,167N_2050_SPWF,167S_2050_SPWF,409_2050_SPWF,operator,rtSide
167N_2021_Acres,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,le,163363
167S_2021_Acres,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,le,255516
409_2021_Acres,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,le,127717
167N_2025_Acres,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,le,163363
167S_2025_Acres,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,le,255516
409_2025_Acres,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,le,127717
167N_2030_Acres,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,le,163363
167S_2030_Acres,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,le,255516
409_2030_Acres,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,le,127717
167N_2050_Acres,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,le,163363
167S_2050_Acres,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,le,255516
409_2050_Acres,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,le,127717
Global_Constraint,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,le,200000