variables,carbon_ac
167N_2021_STQO,41.2
167S_2021_STQO,33.1
409_2021_STQO,46.5
167N_2025_STQO,39.3
167S_2025_STQO,34.1
409_2025_STQO,50
167N_2030_STQO,43.8
167S_2030_STQO,39.1
409_2030_STQO,56.3
167N_2050_STQO,64.5
167S_2050_STQO,54
409_2050_STQO,80.1
167N_2030_WFNM,32.6
167S_2030_WFNM,29.2
409_2030_WFNM,46
167N_2050_WFNM,47
167S_2050_WFNM,42.4
409_2050_WFNM,53.3
167N_2021_PLSQ,41.2
167S_2021_PLSQ,33.1
409_2021_PLSQ,46.5
167N_2025_PLSQ,39.1
167S_2025_PLSQ,33.8
409_2025_PLSQ,49.7
167N_2030_PLSQ,43
167S_2030_PLSQ,38.6
409_2030_PLSQ,55.7
167N_2050_PLSQ,61.4
167S_2050_PLSQ,53.2
409_2050_PLSQ,79.6
167N_2030_PLWF,34.3
167S_2030_PLWF,28.6
409_2030_PLWF,44.9
167N_2050_PLWF,46.7
167S_2050_PLWF,42.1
409_2050_PLWF,54.7
167N_2021_TB,36.4
167S_2021_TB,31.5
409_2021_TB,42.9
167N_2025_TB,35.5
167S_2025_TB,31.4
409_2025_TB,41.3
167N_2030_TB,26.9
167S_2030_TB,26.1
409_2030_TB,33.9
167N_2050_TB,48.4
167S_2050_TB,46.6
409_2050_TB,61.9
167N_2030_TBWF,20.7
167S_2030_TBWF,20
409_2030_TBWF,25.6
167N_2050_TBWF,45
167S_2050_TBWF,40.2
409_2050_TBWF,49
167N_2021_RxB,37
167S_2021_RxB,28.9
409_2021_RxB,41.3
167N_2025_RxB,29.6
167S_2025_RxB,27.6
409_2025_RxB,42.9
167N_2030_RxB,29.7
167S_2030_RxB,29.9
409_2030_RxB,45.4
167N_2050_RxB,57.5
167S_2050_RxB,49.6
409_2050_RxB,72
167N_2030_RBWF,22.6
167S_2030_RBWF,22.9
409_2030_RBWF,37.2
167N_2050_RBWF,44.9
167S_2050_RBWF,39.9
409_2050_RBWF,53.1
167N_2021_TRxB,36.4
167S_2021_TRxB,31.5
409_2021_TRxB,42.9
167N_2025_TRxB,29.8
167S_2025_TRxB,26
409_2025_TRxB,33.6
167N_2030_TRxB,23.7
167S_2030_TRxB,21.7
409_2030_TRxB,29.4
167N_2050_TRxB,45.9
167S_2050_TRxB,44.6
409_2050_TRxB,56.3
167N_2030_TRWF,19.2
167S_2030_TRWF,16.8
409_2030_TRWF,23.4
167N_2050_TRWF,40
167S_2050_TRWF,36.9
409_2050_TRWF,47.8